Timestamp,Ax,Ay,Az
1774520366.3710377,-0.006,-0.004,1.054
1774520366.418754,-0.016,0.006,1.083
1774520366.4816701,0.002,-0.007,1.045
1774520366.529352,-0.020,0.001,1.043
1774520366.5930424,-0.028,0.004,1.082
1774520366.6406898,-0.016,-0.059,1.130
1774520366.7072554,-0.010,-0.003,1.065
1774520366.7493472,-0.043,-0.072,1.112
1774520366.8197572,-0.103,-0.171,0.927
1774520366.8732622,0.020,-0.202,1.235
1774520366.932199,-0.068,-0.045,1.271
1774520366.9816391,0.004,-0.079,1.086
1774520367.044788,0.023,-0.099,1.057
1774520367.1014838,-0.003,-0.088,0.990
1774520367.1556084,-0.022,-0.025,1.037
1774520367.2151093,0.035,-0.149,0.926
1774520367.2717717,-0.080,-0.059,1.071
1774520367.3290188,0.418,-0.229,1.199
1774520367.3799438,0.113,0.200,1.258
1774520367.4268928,0.000,-0.392,0.998
1774520367.4899595,-0.067,-0.198,0.824
1774520367.5532742,0.890,-0.724,2.000
1774520367.6066568,0.145,-0.285,1.048
1774520367.663902,-0.162,-0.061,1.041
1774520367.711189,-0.116,-0.072,0.887
1774520367.7742321,-0.128,0.154,1.308
1774520367.8222203,0.023,-0.257,0.934
1774520367.885296,-0.254,-0.075,1.017
1774520367.9492877,-0.125,-0.077,0.791
1774520367.9964478,0.006,0.404,1.608
1774520368.0610971,0.059,-0.115,0.827
1774520368.1066113,0.017,-0.470,1.115
1774520368.169796,-0.153,0.019,1.361
1774520368.2291281,0.004,-0.193,0.976
1774520368.280782,-0.214,-0.208,1.071
1774520368.3440642,-0.083,-0.410,1.049
1774520368.3917778,-0.022,0.007,1.573
1774520368.456111,0.135,-0.249,1.147
1774520368.5029962,0.007,-0.032,0.909
1774520368.569209,-0.237,-0.168,0.994
1774520368.6158626,0.056,0.094,2.000
1774520368.67796,-0.054,0.425,0.954
1774520368.7255208,0.001,-0.151,0.968
1774520368.789581,-0.782,1.464,2.000
1774520368.8495505,-0.040,0.031,1.125
1774520368.8999214,0.377,-0.493,0.761
1774520368.9640768,-0.173,0.039,0.702
1774520369.019328,-0.227,-0.137,1.646
1774520369.0748634,0.161,-0.124,1.086
1774520369.131678,0.212,-0.264,0.772
1774520369.185327,-0.285,0.016,0.787
1774520369.2452195,0.479,0.196,0.310
1774520369.2971258,0.057,0.322,1.389
1774520369.3563602,-0.063,-0.345,0.881
1774520369.408913,-0.104,-0.205,0.703
1774520369.4709418,-0.077,-0.044,1.114
1774520369.5247169,0.367,-0.181,0.895
1774520369.5834403,-0.146,-0.125,0.922
1774520369.629414,-0.094,-0.201,0.855
1774520369.6943843,0.243,0.112,-0.211
1774520369.7539885,0.370,-0.334,0.937
1774520369.8091753,-0.030,-0.017,1.009
1774520369.8661916,-0.044,-0.320,0.694
1774520369.9139924,-0.240,-0.229,0.690
1774520369.979129,0.229,-0.295,0.696
1774520370.0247512,0.009,-0.147,1.294
1774520370.0887651,0.020,-0.100,0.646
1774520370.145608,-0.243,0.071,1.257
1774520370.199095,0.353,-0.349,0.924
1774520370.263167,-0.030,0.111,0.696
1774520370.3104255,-0.023,-0.327,0.983
1774520370.3747504,-0.201,-0.113,1.546
1774520370.4212825,-0.371,-0.001,1.661
1774520370.4842768,0.376,-0.221,1.047
1774520370.5318518,-0.201,-0.102,1.168
1774520370.5951324,-0.101,-0.135,0.826
1774520370.642565,0.461,-0.343,0.865
1774520370.7062492,-0.125,-0.136,1.022
1774520370.7695248,-0.077,-0.039,0.446
1774520370.8168674,0.592,-0.639,2.000
1774520370.8832,0.126,0.136,1.052
1774520370.9270232,-0.085,0.067,0.735
1774520370.990384,-0.086,-0.163,1.043
1774520371.0385716,0.446,-0.058,0.668
1774520371.101793,0.353,-0.001,1.031
1774520371.1652048,-0.232,0.178,0.827
1774520371.2126477,-0.045,-0.349,1.424
1774520371.2781315,-0.166,-0.223,1.193
1774520371.3219185,0.133,-0.392,0.786
1774520371.3885674,0.022,-0.169,0.876
